0.7132,1.395,1.15,0.476,1.475,2.516,5.126,1.308,3.288,1.293,2.941
0.7302,1.395,1.146,0.493,1.504,2.606,5.354,1.341,3.397,1.35,3.054
0.7502,1.394,1.146,0.506,1.519,2.662,5.713,1.352,3.533,1.4,3.176
0.743,1.404,1.152,0.512,1.496,2.651,5.7,1.342,3.51,1.404,3.176
0.7362,1.401,1.149,0.506,1.470,2.623,5.926,1.316,3.519,1.398,3.183
0.7564,1.392,1.148,0.521,1.489,2.684,5.996,1.33,3.604,1.438,3.264
0.7836,1.367,1.134,0.541,1.513,2.805,6.068,1.365,3.686,1.479,3.349
0.789,1.349,1.114,0.534,1.536,2.8,5.957,1.379,3.682,1.47,3.325
0.7858,1.351,1.108,0.534,1.537,2.79,5.971,1.388,3.69,1.469,3.331
0.7776,1.37,1.128,0.518,1.523,2.727,5.759,1.365,3.61,1.441,3.248
0.7686,1.389,1.143,0.514,1.515,2.71,5.815,1.366,3.585,1.437,3.249
0.7676,1.378,1.134,0.505,1.493,2.656,5.76,1.348,3.585,1.426,3.218
0.7722,1.36,1.122,0.504,1.514,2.659,5.672,1.336,3.58,1.418,3.203
0.765,1.353,1.117,0.5,1.508,2.65,5.745,1.324,3.574,1.414,3.204
0.7814,1.352,1.116,0.517,1.533,2.726,5.99,1.347,3.672,1.455,3.311
0.7858,1.35,1.112,0.521,1.547,2.751,6.003,1.356,3.705,1.468,3.343
0.736,1.339,1.116,0.476,1.480,2.505,5.403,1.299,3.341,1.332,3.014
0.757,1.349,1.119,0.49,1.532,2.565,5.318,1.338,3.466,1.373,3.087
0.784,1.359,1.123,0.507,1.570,2.666,5.682,1.37,3.628,1.429,3.244
0.7914,1.373,1.133,0.508,1.596,2.667,5.66,1.391,3.639,1.437,3.25
0.7888,1.394,1.152,0.508,1.581,2.664,5.744,1.382,3.66,1.44,3.265
0.8062,1.393,1.137,0.513,1.615,2.695,5.705,1.417,3.685,1.452,3.284
0.8014,1.394,1.141,0.512,1.619,2.676,5.577,1.424,3.652,1.44,3.245
0.788,1.372,1.129,0.504,1.611,2.658,5.503,1.417,3.596,1.424,3.203
0.7818,1.354,1.115,0.499,1.601,2.634,5.413,1.407,3.559,1.402,3.158
0.7752,1.371,1.123,0.492,1.582,2.616,5.358,1.387,3.52,1.392,3.112
0.7618,1.357,1.112,0.479,1.575,2.545,5.176,1.368,3.433,1.353,3.033
0.779,1.367,1.124,0.488,1.604,2.581,5.367,1.388,3.509,1.388,3.109
0.7708,1.381,1.134,0.486,1.596,2.562,5.256,1.384,3.472,1.371,3.077
0.768,1.376,1.127,0.478,1.585,2.525,5.238,1.368,3.453,1.361,3.042
0.7504,1.387,1.136,0.467,1.554,2.464,5.21,1.339,3.385,1.336,3.003
0.752,1.373,1.136,0.469,1.545,2.465,5.347,1.327,3.414,1.353,3.042
0.7702,1.367,1.129,0.479,1.564,2.512,5.416,1.343,3.485,1.374,3.092
0.7792,1.385,1.143,0.482,1.581,2.517,5.426,1.359,3.511,1.385,3.111
0.7828,1.393,1.142,0.489,1.594,2.522,5.418,1.37,3.524,1.391,3.12
0.7904,1.419,1.157,0.493,1.619,2.549,5.428,1.39,3.545,1.399,3.139
0.8066,1.435,1.16,0.5,1.651,2.558,5.405,1.413,3.576,1.41,3.157
0.815,1.437,1.162,0.505,1.659,2.581,5.454,1.43,3.606,1.422,3.177
0.804,1.45,1.171,0.499,1.655,2.568,5.335,1.426,3.554,1.4,3.133
0.82,1.444,1.17,0.512,1.675,2.642,5.517,1.452,3.649,1.441,3.23
0.823,1.449,1.17,0.516,1.692,2.642,5.478,1.461,3.647,1.443,3.222
0.8346,1.452,1.17,0.52,1.728,2.666,5.49,1.489,3.677,1.452,3.236
0.8136,1.474,1.177,0.508,1.716,2.634,5.305,1.484,3.58,1.415,3.151
0.8252,1.468,1.175,0.509,1.749,2.637,5.287,1.503,3.604,1.423,3.163
0.8204,1.457,1.174,0.502,1.745,2.607,5.206,1.503,3.568,1.409,3.13
0.8088,1.463,1.177,0.502,1.720,2.605,5.205,1.491,3.557,1.4,3.125
0.8188,1.449,1.166,0.51,1.749,2.677,5.345,1.51,3.619,1.426,3.184
0.8226,1.45,1.166,0.507,1.759,2.663,5.26,1.522,3.598,1.42,3.158
0.8204,1.426,1.145,0.506,1.758,2.674,5.294,1.518,3.608,1.422,3.167
0.824,1.424,1.15,0.515,1.756,2.729,5.511,1.522,3.666,1.447,3.24
